Date,National,Dublin,Non-Dublin
2026-04-01,164.66211684046448,149.086894023701,166.16032258595493
2026-05-01,165.52877119891807,149.77696745036556,167.12622761421676
2026-06-01,166.39998695735503,150.4702349963879,168.097747536029
2026-07-01,167.27578812346616,151.1667114462794,169.0749149912772
2026-08-01,168.15619883130015,151.86641165298414,170.0577628095855
2026-09-01,169.0412433419287,152.56935053819538,171.04632401141978
