"STATISTIC","Statistic Label","TLIST(M1)","Month","C02803V03373","Type of Residential Property","UNIT","VALUE"
"HPM06C01","Residential Property Price Index","200503","2005 March","03","National excluding Dublin - all residential properties","Base Jan 2005 = 100","100.5"
"HPM06C01","Residential Property Price Index","200503","2005 March","04","National excluding Dublin - houses","Base Jan 2005 = 100","101.1"
"HPM06C01","Residential Property Price Index","200503","2005 March","12","National excluding Dublin - apartments","Base Jan 2005 = 100","92.1"
"HPM06C01","Residential Property Price Index","200503","2005 March","13","Border excluding Louth - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200503","2005 March","14","Midland - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200503","2005 March","15","West - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200503","2005 March","16","Mid-East including Louth - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200503","2005 March","17","Mid-West including South Tipperary - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200503","2005 March","18","South-East excluding South Tipperary - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200503","2005 March","19","South-West - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200504","2005 April","-","National - all residential properties","Base Jan 2005 = 100","102.1"
"HPM06C01","Residential Property Price Index","200504","2005 April","01","National - houses","Base Jan 2005 = 100","102.4"
"HPM06C01","Residential Property Price Index","200504","2005 April","02","National - apartments","Base Jan 2005 = 100","100"
"HPM06C01","Residential Property Price Index","200504","2005 April","05","Dublin - all residential properties","Base Jan 2005 = 100","103.6"
"HPM06C01","Residential Property Price Index","200504","2005 April","06","Dublin - houses","Base Jan 2005 = 100","103.7"
"HPM06C01","Residential Property Price Index","200504","2005 April","07","Dublin - apartments","Base Jan 2005 = 100","104.2"
"HPM06C01","Residential Property Price Index","200504","2005 April","08","Dublin City - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200504","2005 April","09","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200504","2005 April","10","Fingal - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200504","2005 April","11","South Dublin - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200504","2005 April","03","National excluding Dublin - all residential properties","Base Jan 2005 = 100","101.2"
"HPM06C01","Residential Property Price Index","200504","2005 April","04","National excluding Dublin - houses","Base Jan 2005 = 100","101.8"
"HPM06C01","Residential Property Price Index","200504","2005 April","12","National excluding Dublin - apartments","Base Jan 2005 = 100","91.3"
"HPM06C01","Residential Property Price Index","200504","2005 April","13","Border excluding Louth - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200504","2005 April","14","Midland - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200504","2005 April","15","West - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200504","2005 April","16","Mid-East including Louth - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200504","2005 April","17","Mid-West including South Tipperary - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200504","2005 April","18","South-East excluding South Tipperary - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200504","2005 April","19","South-West - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200505","2005 May","-","National - all residential properties","Base Jan 2005 = 100","102.8"
"HPM06C01","Residential Property Price Index","200505","2005 May","01","National - houses","Base Jan 2005 = 100","103.2"
"HPM06C01","Residential Property Price Index","200505","2005 May","02","National - apartments","Base Jan 2005 = 100","100.2"
"HPM06C01","Residential Property Price Index","200505","2005 May","05","Dublin - all residential properties","Base Jan 2005 = 100","104.4"
"HPM06C01","Residential Property Price Index","200505","2005 May","06","Dublin - houses","Base Jan 2005 = 100","104.8"
"HPM06C01","Residential Property Price Index","200505","2005 May","07","Dublin - apartments","Base Jan 2005 = 100","104.2"
"HPM06C01","Residential Property Price Index","200505","2005 May","08","Dublin City - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200505","2005 May","09","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200505","2005 May","10","Fingal - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200505","2005 May","11","South Dublin - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200505","2005 May","03","National excluding Dublin - all residential properties","Base Jan 2005 = 100","101.9"
"HPM06C01","Residential Property Price Index","200505","2005 May","04","National excluding Dublin - houses","Base Jan 2005 = 100","102.5"
"HPM06C01","Residential Property Price Index","200505","2005 May","12","National excluding Dublin - apartments","Base Jan 2005 = 100","91.9"
"HPM06C01","Residential Property Price Index","200505","2005 May","13","Border excluding Louth - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200505","2005 May","14","Midland - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200505","2005 May","15","West - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200505","2005 May","16","Mid-East including Louth - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200505","2005 May","17","Mid-West including South Tipperary - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200505","2005 May","18","South-East excluding South Tipperary - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200505","2005 May","19","South-West - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200506","2005 June","-","National - all residential properties","Base Jan 2005 = 100","103.7"
"HPM06C01","Residential Property Price Index","200506","2005 June","01","National - houses","Base Jan 2005 = 100","104.3"
"HPM06C01","Residential Property Price Index","200506","2005 June","02","National - apartments","Base Jan 2005 = 100","99.9"
"HPM06C01","Residential Property Price Index","200506","2005 June","05","Dublin - all residential properties","Base Jan 2005 = 100","104.5"
"HPM06C01","Residential Property Price Index","200506","2005 June","06","Dublin - houses","Base Jan 2005 = 100","105.1"
"HPM06C01","Residential Property Price Index","200506","2005 June","07","Dublin - apartments","Base Jan 2005 = 100","103.7"
"HPM06C01","Residential Property Price Index","200506","2005 June","08","Dublin City - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200506","2005 June","09","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200506","2005 June","10","Fingal - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200506","2005 June","11","South Dublin - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200506","2005 June","03","National excluding Dublin - all residential properties","Base Jan 2005 = 100","103.3"
"HPM06C01","Residential Property Price Index","200506","2005 June","04","National excluding Dublin - houses","Base Jan 2005 = 100","104"
"HPM06C01","Residential Property Price Index","200506","2005 June","12","National excluding Dublin - apartments","Base Jan 2005 = 100","91.6"
"HPM06C01","Residential Property Price Index","200506","2005 June","13","Border excluding Louth - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200506","2005 June","14","Midland - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200506","2005 June","15","West - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200506","2005 June","16","Mid-East including Louth - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200506","2005 June","17","Mid-West including South Tipperary - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200506","2005 June","18","South-East excluding South Tipperary - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200506","2005 June","19","South-West - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200507","2005 July","-","National - all residential properties","Base Jan 2005 = 100","105.3"
"HPM06C01","Residential Property Price Index","200507","2005 July","01","National - houses","Base Jan 2005 = 100","106.2"
"HPM06C01","Residential Property Price Index","200507","2005 July","02","National - apartments","Base Jan 2005 = 100","100.1"
"HPM06C01","Residential Property Price Index","200507","2005 July","05","Dublin - all residential properties","Base Jan 2005 = 100","105.7"
"HPM06C01","Residential Property Price Index","200507","2005 July","06","Dublin - houses","Base Jan 2005 = 100","106.9"
"HPM06C01","Residential Property Price Index","200507","2005 July","07","Dublin - apartments","Base Jan 2005 = 100","103.3"
"HPM06C01","Residential Property Price Index","200507","2005 July","08","Dublin City - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200507","2005 July","09","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200507","2005 July","10","Fingal - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200507","2005 July","11","South Dublin - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200507","2005 July","03","National excluding Dublin - all residential properties","Base Jan 2005 = 100","105.1"
"HPM06C01","Residential Property Price Index","200507","2005 July","04","National excluding Dublin - houses","Base Jan 2005 = 100","105.8"
"HPM06C01","Residential Property Price Index","200507","2005 July","12","National excluding Dublin - apartments","Base Jan 2005 = 100","93.5"
"HPM06C01","Residential Property Price Index","200507","2005 July","13","Border excluding Louth - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200507","2005 July","14","Midland - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200507","2005 July","15","West - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200507","2005 July","16","Mid-East including Louth - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200507","2005 July","17","Mid-West including South Tipperary - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200507","2005 July","18","South-East excluding South Tipperary - houses","Base Jan 2005 = 100",""
"HPM06C01","Residential Property Price Index","200507","2005 July","19","South-West - houses","Base Jan 2005 = 100",""
